text,sentiment_label,sentiment_score,lang,is_ai,emoji_presence,keyword_score,clarity,sent_richness,relevance_score
"the popularity of word salad prepared by large language models (llms) like openais chatgpt, googles bard, and metas llama has prompted academics to look for ways to detect machinegenerated text. sadly, existing detection schemes may not be much bet",negative,0.5181,en,TRUE,0,7,1,0.974358974,3.894871795
"microsoft copilot is generative artificial intelligence (ai) technology based on gpt4, a large language model (llm) created by openai. it is also the basis for the wildly popular chatgpt chatbot.",neutral,0.7446,en,TRUE,0,7,1,0.933333333,3.886666667
"charl joseph vanessa (usa ) [actress vanessa hudgens charl joseph group of companies] chatgpt or chat generative pretrained transformer, is an ai chatbot created by openai. it is a large language model (llm), trained on massive amounts of language data to accurately predict",neutral,0.9505,en,TRUE,0,7,1,0.860465116,3.872093023
"how many people are now renting aws gpu instances so they can run stable diffusion to generate ai art, or running large language models, etc. how much demand is there from bing, chatgpt, bard, facebook, etc? pe looks insane but if revs 2x in a couple years, maybe not.",neutral,0.7539,en,TRUE,0,6,1,0.979591837,3.395918367
"you know what ai said may not be the best answer and yet many are using artificial intelligence like openais chatgpt, googles bard, or bing ai, to define their answers to top interview questions. well,…",negative,0.5156,en,TRUE,0,6,1,0.971428571,3.394285714
khan academy: are you curious about all the hype surrounding artificial intelligence (ai) and large language models (llms) like chatgpt? wondering if this new technology can help you in your learning journey?,positive,0.5426,en,TRUE,0,6,1,0.96875,3.39375
"openai is unveiling gpt4, the muchanticipated successor to an artificial intelligence tool that spawned viral services like chatgpt and the dalle imagecreation program",neutral,0.6813,en,TRUE,0,6,1,0.956521739,3.391304348
"ai was a hot topic this year greg brockman, cofounder of openai, the company behind chatgpt and dalle, talked about how he thinks artificial intelligence will revolutionize everything from writing to entertainment to the way we do our jobs.",positive,0.7477,en,TRUE,0,6,1,0.948717949,3.38974359
"call for speakersrocky mountain artificial intelligence interest group is looking for speakers for our monthly meetings. ai experts and lead users of chatgpt, dalle, midjourney, microsoft’s bing with chat, and google’s bard are welcome to contact us.",neutral,0.7525,en,TRUE,0,6,1,0.918918919,3.383783784
"openai is unveiling the successor to an artificial intelligence tool that spawned viral services chatgpt and dalle, and set off an intense competition among technology companies in the area known as generative ai. know more:",neutral,0.6959,en,TRUE,0,6,1,0.914285714,3.382857143
chatgpt a large language model developed by openai based on the gpt3.5 architecture. it uses artificial intelligence and natural language processing to understand and generate humanlike responses to questions or prompts.,neutral,0.8775,en,TRUE,0,6,1,0.903225806,3.380645161
"google releases bard: what to know about search giants new ai chatbot: google on march began to release its muchanticipated artificial intelligence chatbot, bard. it is the companys answer to chatgpt, a platform developed by openai, and to another…",neutral,0.5932,en,TRUE,0,6,1,0.897435897,3.379487179
chatgpt is an artificial intelligence chatbot developed by openai and launched in november 2022. it is built on top of openais gpt3 family of large language models and has been finetuned using both supervised and reinforcement learning techniques. 1/2,neutral,0.7963,en,TRUE,0,6,1,0.897435897,3.379487179
chatgpt is an artificial intelligence chatbot developed by openai and launched in november 2022. it is built on top of openais gpt3 and gpt4 families of large language models and has been finetuned (an approach to transfer learning),neutral,0.7537,en,TRUE,0,6,1,0.894736842,3.378947368
chatgpt is an artificial intelligence chatbot developed by openai . it is built on top of openais gpt3.5 and gpt4 families of large language models and has been finetuned using both supervised and reinforcement learning techniques.,neutral,0.8337,en,TRUE,0,6,1,0.888888889,3.377777778
"openais latest ""large language model"" artificial intelligence software, gpt4 5, can handle more than 64,00 words, compared to the maximum of gpt3 5s maximum of 8,00. the software is based on the companys groundbreaking chatgpt chatbo",neutral,0.5003,en,TRUE,0,6,1,0.888888889,3.377777778
"google is now offering bard – its chatdriven rival to chatgpt – to carefully selected netizens in the us and uk. bard, derived from the web advertising giants large language model lamda, was built to compete with openais gpt series, the brains behin",neutral,0.747,en,TRUE,0,6,1,0.88372093,3.376744186
"thread: unlock the power of gpt &amp; llms 1/ as a huge fan of chatgpt, i am thrilled to share my insights on how to make the most out of generative pretrained transformers (gpt) and large language models (llms) in this thread. get ready for the future of ai!",positive,0.9832,en,TRUE,0,6,1,0.87755102,3.375510204
"according to openai, the company behind chatgpt and its latest version, this newest version of the llm (large language model) is capable of reading photos and explaining their contents to users.",neutral,0.7612,en,TRUE,0,6,1,0.870967742,3.374193548
chatgpt[a] is an artificial intelligence chatbot developed by openai and launched in november 2022. it is built on top of openais gpt3 and gpt4 families of large language models and has been finetuned and the us ceo talking about the software listen to him.,neutral,0.787,en,TRUE,0,6,1,0.863636364,3.372727273
"whatever the ai powers of the latest large language models, i must say silicon valley is not great with names compared to china. chatgpt is really not a name at all. and bard? palm, llama, and even llms, are all trying to play on l and m. on the other hand, baidu has 文心一言.",negative,0.8258,en,TRUE,0,6,1,0.851851852,3.37037037
openai has announced the launch of its latest language model artificial intelligence tool in gpt4 that has brought together key functions of chatgpt and dalle. it can accept text and image inputs but its outputs will be in text only.,neutral,0.5436,en,TRUE,0,6,1,0.85,3.37
